Unnamed: 0,habitants,modal_salary,immigrants,unemployment_rate,violations_per_1000_inhabitants,average_healthcare_satisfaction,average_annual_expenditure_person,rent_actual,poverty_risk_rate,inflation_rate,satisfaction_rate,percentage_immigrats,annual_rent,annual_expenses,savings
andalucia,8472407,18671.83,555831.0,18.68,27.24,6.475,10479.9,681.0,32.3,10.5,7.0,6.560485113616473,8172.0,18651.9,19.93000000000029
aragon,1326261,20604.72,110010.0,8.96,22.52,6.879166666666666,12022.0,673.0,15.8,11.0,7.0,8.294747413970553,8076.0,20098.0,506.72000000000116
asturias,1011792,21559.07,48058.0,11.36,18.66,7.4,11855.9,648.0,20.4,10.3,7.0,4.749790470768696,7776.0,19631.9,1927.1699999999983
balearic_islands,1173008,20276.91,180360.0,9.29,39.57,7.275,11954.8,914.0,17.6,9.7,7.0,15.375854214123008,10968.0,22922.8,-2645.8899999999994
basque_country,2213993,26104.0,100701.0,8.75,27.41,7.4,13981.6,1047.0,12.2,9.6,7.0,4.548388364371522,12564.0,26545.6,-441.59999999999854
canary_islands,2172944,17379.17,276827.0,17.76,27.38,6.450000000000001,9689.6,766.0,28.4,8.5,7.0,12.73972085796965,9192.0,18881.6,-1502.4300000000003
cantabria,584507,20114.15,30057.0,8.17,24.34,7.175000000000001,11270.5,762.0,15.4,10.0,7.0,5.142282299442094,9144.0,20414.5,-300.34999999999854
castilla_la_mancha,2049562,18618.9,135761.0,14.11,24.15,7.074999999999999,9587.5,480.0,27.4,12.7,7.0,6.623903058311971,5760.0,15347.5,3271.4000000000015
castilla_y_leon,2383139,19152.61,121761.0,10.19,22.37,6.875,11930.6,589.0,17.9,11.6,7.0,5.109269748848053,7068.0,18998.6,154.01000000000204
catalonia,7763362,22319.4,923156.0,9.29,36.3,6.575,12856.5,1103.0,14.8,9.7,7.0,11.891188379467556,13236.0,26092.5,-3773.0999999999985
extremadura,1059501,17110.33,27870.0,16.73,18.54,7.0,10304.3,444.0,32.3,10.6,7.0,2.6304835955794283,5328.0,15632.3,1478.0300000000025
galicia,2695645,18813.49,152422.0,11.2,23.13,6.9750000000000005,11805.5,587.0,20.2,11.1,6.0,5.654379564074646,7044.0,18849.5,-36.0099999999984
la_rioja,319796,19944.0,34795.0,10.19,20.54,7.300000000000001,11263.7,603.0,16.1,10.6,7.0,10.88037373825814,7236.0,18499.7,1444.2999999999993
madrid,6751251,22262.74,882293.0,10.18,36.75,6.949999999999999,13541.0,1102.0,15.2,9.5,7.0,13.068585362920146,13224.0,26765.0,-4502.259999999998
ceuta y melilla,86261,17431.399067694158,13244.0,24.66,35.02,6.050000000000001,8337.0,635.7589355247836,30.1,10.1,6.9411764705882355,15.353404203521869,7629.107226297403,15966.107226297403,1465.2918413967545
murcia,1518486,18519.9,184463.0,12.18,27.86,6.625,10159.2,594.0,27.7,10.9,7.0,12.147823555831268,7128.0,17287.2,1232.7000000000007
navarra,661537,24978.02,51107.0,8.76,29.12,7.5,13150.5,804.0,9.8,10.2,7.0,7.725493812137492,9648.0,22798.5,2179.5200000000004
valencian_community,5058138,18650.01,691332.0,12.81,32.67,6.85,11461.2,674.0,25.1,10.2,7.0,13.66771725089351,8088.0,19549.2,-899.1900000000023
